customer_id,age,annual_income_usd,months_since_signup,avg_session_length_min,pages_per_session,web_time_sec,app_time_sec,store_visits_30d,purchases_30d,returns_30d,cart_abandon_rate_pct,loyalty_score,signup_days_ago,preferred_channel,device_os,country,day_of_week,is_holiday_season,segment
18,57,25435.0,89,10.8,8,197.0,227,0,3,0,57.7,86.4,2687,app,Android,TR,Sat,0,budget
19,54,32211.0,8,14.6,9,819.0,34,0,2,0,55.0,40.8,244,web,Android,IN,Sat,1,budget
20,34,36392.0,120,15.9,11,542.0,53,0,1,0,37.8,24.7,3606,web,Android,TR,Wed,0,budget
21,18,30549.0,107,15.0,8,166.0,221,0,2,1,,31.8,3225,app,Android,TR,Fri,0,budget
22,40,29643.0,108,13.1,1,120.0,138,1,5,1,,45.3,3256,web,Desktop,TR,Fri,0,budget
23,44,22390.0,117,20.4,14,50.0,144,0,2,0,37.7,42.6,3510,app,Android,IN,Wed,0,budget
24,31,33079.0,77,11.5,8,254.0,343,0,3,0,58.2,39.9,2323,app,iOS,TR,Tue,0,budget
25,64,37037.0,38,30.0,9,317.0,26,0,2,0,77.4,28.6,1154,app,Android,TR,Mon,0,budget
26,27,53536.0,77,11.0,8,82.0,123,0,3,0,43.8,80.7,2327,web,Android,BR,Mon,0,budget
27,45,13383.0,74,1.0,7,221.0,214,1,3,0,66.9,55.4,2243,mixed,iOS,TR,Mon,0,budget
28,26,20047.0,89,13.3,3,220.0,122,0,1,0,56.4,43.6,2672,web,Android,IN,Tue,0,budget
29,38,42983.0,44,21.1,9,242.0,336,1,3,0,7.9,45.0,1344,web,Android,DE,Thu,0,budget
30,74,35888.0,64,35.2,6,328.0,131,0,2,0,52.5,90.4,1940,app,iOS,US,Mon,0,budget
31,56,52993.0,98,12.2,8,61.0,324,0,2,0,38.4,6.0,2951,store,iOS,DE,Tue,0,budget
32,42,46196.0,31,28.7,3,501.0,16,1,2,0,77.9,88.2,935,mixed,iOS,TR,Sat,1,budget
33,30,17115.0,106,13.5,9,550.0,91,1,2,0,55.7,78.7,3181,web,Android,BR,Sun,0,budget
34,21,63657.0,23,21.9,8,53.0,56,2,1,0,68.9,0.0,692,app,Android,US,Thu,0,budget
35,69,36124.0,110,21.8,8,138.0,204,1,2,0,42.2,45.1,3312,web,Android,BR,Fri,0,budget
36,46,39136.0,19,21.5,13,64.0,493,1,3,1,39.1,45.8,591,,Android,IN,Thu,0,budget
37,54,57090.0,43,2.9,8,174.0,159,1,2,0,41.8,58.0,1290,app,Android,DE,Tue,0,budget
38,34,18514.0,14,20.2,8,21.0,238,0,2,0,61.7,2.4,448,store,Android,IN,Mon,0,budget
39,21,41799.0,66,19.2,5,428.0,119,1,6,0,24.3,43.3,1982,mixed,Android,US,Thu,0,loyal
40,30,80063.0,8,29.1,6,41.0,31,2,2,1,35.8,53.0,241,web,Android,IN,Tue,0,budget
41,25,56936.0,27,9.3,3,72.0,405,3,5,0,85.4,68.7,833,web,Android,DE,Sun,0,budget
42,30,26508.0,29,15.0,6,846.0,52,2,4,1,25.0,98.1,877,mixed,Android,DE,Tue,0,budget
43,26,26956.0,3,2.0,7,294.0,308,2,4,0,56.7,100.0,95,app,Android,US,Sun,0,budget
44,51,16813.0,52,1.0,3,268.0,20,3,1,0,,59.3,1586,store,Android,DE,Mon,1,budget
45,24,30888.0,33,14.5,8,314.0,184,0,1,0,72.4,92.1,1016,app,Android,TR,Wed,0,budget
46,52,31897.0,14,19.5,8,560.0,289,0,2,0,25.6,95.2,447,mixed,Desktop,TR,Sat,1,budget
47,51,39469.0,29,26.8,5,,50,2,1,0,26.4,48.0,888,app,Desktop,US,Wed,1,budget
48,69,39442.0,105,26.7,5,138.0,125,0,2,0,56.4,67.6,3155,app,Android,IN,Tue,1,budget
49,45,14878.0,96,27.9,8,204.0,519,0,2,0,53.5,74.7,2886,app,Desktop,BR,Fri,0,budget
50,24,45505.0,107,,11,418.0,264,1,9,0,65.9,45.0,3222,web,Android,IN,Thu,0,budget
51,36,29430.0,90,13.6,12,260.0,182,3,1,0,58.7,39.8,2710,app,iOS,US,Wed,0,budget
52,46,50451.0,50,18.2,10,64.0,371,0,3,1,33.2,78.8,1502,mixed,Desktop,TR,Mon,0,budget
53,35,120453.0,102,14.4,4,409.0,29,0,2,0,1.6,51.9,3065,store,Desktop,TR,Tue,0,loyal
54,34,62986.0,105,17.3,13,,238,1,2,1,21.9,34.8,3170,web,Android,US,Wed,1,budget
55,32,50980.0,5,,4,242.0,238,2,3,0,45.9,85.7,161,web,Android,DE,Fri,1,budget
56,46,30890.0,102,,4,555.0,356,0,6,0,40.0,12.9,3065,web,iOS,BR,Thu,0,budget
57,70,46949.0,86,24.7,4,162.0,264,1,2,0,21.5,87.7,2599,web,Android,US,Mon,0,loyal
58,73,13021.0,27,41.2,6,,89,2,4,0,42.9,61.0,812,web,Android,TR,Wed,0,budget
59,59,12399.0,50,18.9,10,262.0,366,1,4,1,44.8,56.6,1515,web,Android,TR,Fri,0,budget
60,71,16609.0,40,13.7,7,93.0,113,1,1,0,48.1,23.1,1207,app,Android,IN,Mon,0,budget
61,75,22158.0,44,13.0,7,83.0,224,0,3,0,60.0,72.4,1346,web,Android,IN,Thu,0,budget
62,62,35002.0,24,8.5,7,453.0,393,0,2,0,6.9,50.1,731,web,Desktop,US,Sat,0,budget
63,67,41276.0,76,4.9,12,122.0,355,1,2,0,,14.9,2289,,iOS,US,Fri,1,budget
64,63,42016.0,114,18.0,4,68.0,186,0,0,0,52.9,14.2,3424,mixed,,US,Wed,0,budget
65,44,47959.0,16,22.9,11,318.0,191,0,1,0,77.9,94.5,488,web,Android,IN,Thu,0,budget
66,34,49995.0,1,13.4,11,210.0,153,1,6,1,69.6,16.7,37,web,Android,IN,Wed,0,budget
67,72,32391.0,83,,11,594.0,170,0,1,0,35.2,85.0,2490,web,Android,TR,Tue,0,budget
68,48,30347.0,14,14.0,10,47.0,88,0,2,0,86.5,64.7,440,store,iOS,US,Tue,0,budget
69,24,70648.0,83,13.5,11,137.0,48,1,2,0,39.5,55.2,2505,app,Android,US,Tue,0,budget
70,64,18299.0,90,21.8,7,233.0,128,1,2,0,,60.6,2717,app,Android,DE,Mon,0,budget
71,21,53450.0,75,17.5,12,288.0,328,0,3,0,65.6,60.5,2275,web,Android,TR,Fri,0,budget
72,62,24489.0,103,24.6,7,89.0,106,1,2,0,24.2,31.2,3103,web,Desktop,BR,Mon,0,budget
73,34,15470.0,1,24.6,5,346.0,673,0,4,1,49.9,57.1,41,app,,US,Mon,0,budget
74,51,15613.0,82,16.4,7,70.0,126,0,4,1,,75.7,2484,,iOS,US,Thu,0,budget
75,54,28577.0,8,22.2,11,444.0,72,1,2,0,44.5,24.9,265,app,Desktop,US,Tue,0,budget
76,67,42994.0,10,21.5,7,126.0,262,1,4,0,30.8,0.0,312,web,Android,TR,Wed,0,budget
77,73,27840.0,17,3.5,9,268.0,137,0,0,0,93.4,43.1,510,web,Android,TR,Tue,0,budget
78,67,31900.0,106,37.5,6,257.0,218,1,4,0,59.7,52.8,3207,app,Android,US,Tue,0,budget
79,44,36593.0,106,26.0,6,256.0,44,2,5,1,38.6,53.9,3185,store,Android,BR,Wed,0,budget
80,39,51748.0,99,9.8,5,285.0,114,1,4,1,73.6,35.8,2986,store,Android,US,Fri,0,budget
81,46,30994.0,13,17.9,8,24.0,324,0,1,0,16.3,64.0,419,app,Android,US,Tue,0,budget
82,44,38672.0,67,13.1,5,69.0,54,1,2,1,65.8,55.7,2027,mixed,Android,TR,Fri,1,budget
83,37,596956.9670782586,48,,9,885.0,465,0,1,0,0.0,12.3,1468,web,iOS,TR,Tue,0,budget
84,35,15321.0,5,,8,161.0,188,1,3,0,35.0,40.0,156,mixed,Android,DE,Wed,0,budget
85,38,12611.0,66,,4,138.0,70,0,1,0,70.4,52.6,1987,web,Desktop,TR,Sun,1,budget
86,65,37204.0,62,28.5,5,375.0,394,1,5,0,90.3,52.0,1861,web,iOS,DE,Tue,1,budget
87,35,37232.0,85,14.8,9,112.0,295,0,3,1,60.6,47.7,2565,app,Android,TR,Fri,0,budget
88,46,35742.0,83,9.7,1,126.0,95,1,3,0,68.0,40.1,2512,web,iOS,TR,Tue,0,budget
89,27,8000.0,29,20.1,11,158.0,283,1,2,0,32.8,26.8,888,web,Android,TR,Thu,0,budget
90,50,29450.0,27,10.3,6,281.0,200,0,4,0,77.0,67.6,811,app,iOS,IN,Fri,0,budget
91,72,36922.0,11,,4,167.0,48,2,4,0,53.2,66.3,330,web,Android,BR,Sat,1,budget
92,45,19798.0,64,17.9,6,176.0,212,1,7,2,53.7,100.0,1940,mixed,Android,US,Thu,0,loyal
93,41,29449.0,99,21.1,5,436.0,127,2,3,0,66.4,0.0,2999,,Android,IN,Sun,0,budget
94,32,27286.0,112,22.6,8,445.0,163,1,1,0,58.2,67.9,3378,web,,IN,Wed,0,budget
95,34,63307.0,42,26.3,10,274.0,76,0,2,1,51.9,38.3,1272,app,Android,US,Sat,0,budget
96,75,279225.1036306184,45,19.3,10,495.0,227,0,2,0,40.1,10.0,1366,web,Android,DE,Wed,0,budget
97,26,19942.0,36,23.1,10,289.0,51,3,4,0,57.9,39.3,1089,web,Android,IN,Fri,0,budget
98,49,45952.0,38,15.8,6,685.0,242,0,4,0,35.9,30.8,1165,app,iOS,DE,Fri,0,budget
99,44,38924.0,65,23.4,7,909.0,258,1,5,1,64.9,49.8,1955,mixed,,IN,Thu,0,budget
100,74,21078.0,94,23.2,7,266.0,55,0,3,0,53.8,21.3,2830,app,Android,TR,Thu,0,budget
101,43,18983.0,70,18.6,11,269.0,179,0,3,1,48.0,70.9,2118,app,Android,US,Tue,0,budget
102,31,13768.0,67,17.8,6,108.0,86,0,2,0,40.7,74.0,2011,store,iOS,TR,Fri,1,budget
103,45,71504.0,63,14.0,13,658.0,57,0,0,0,80.1,7.4,1912,store,iOS,US,Sun,0,budget
104,70,17146.0,32,14.6,5,166.0,44,2,3,1,35.7,32.0,973,web,Android,US,Tue,0,budget
105,32,34257.0,86,23.9,7,,206,0,2,0,6.2,31.2,2580,web,Android,TR,Sun,0,budget
106,36,15033.0,90,35.6,6,174.0,283,2,4,0,50.3,36.3,2718,app,iOS,US,Mon,0,budget
107,56,18723.0,46,25.5,9,224.0,19,1,3,0,29.7,73.5,1395,web,Desktop,US,Tue,0,budget
108,37,44800.0,113,38.4,5,230.0,12,0,2,0,61.0,54.8,3399,app,Android,US,Thu,0,budget
109,18,36713.0,51,25.7,3,282.0,41,0,2,0,64.4,76.9,1532,mixed,Android,TR,Thu,0,budget
110,59,49628.0,78,28.7,10,173.0,375,3,2,0,47.2,50.1,2352,web,Android,TR,Sat,1,budget
111,56,10388.0,78,10.3,7,133.0,116,1,1,0,22.6,55.5,2368,store,Android,IN,Sat,0,budget
112,61,99909.0,34,16.4,5,24.0,334,0,4,1,55.8,44.7,1045,mixed,Android,BR,Thu,0,budget
113,68,74376.0,14,14.0,7,110.0,566,1,6,0,46.1,49.2,445,web,iOS,BR,Mon,0,budget
114,74,28980.0,45,18.0,5,371.0,67,3,3,1,68.6,39.0,1370,web,iOS,TR,Wed,0,budget
115,20,47638.0,77,23.2,3,172.0,194,1,2,0,48.8,73.2,2325,mixed,Android,BR,Sat,0,budget
116,73,45170.0,64,11.0,6,105.0,320,1,5,0,,42.6,1932,web,Android,IN,Wed,0,budget
117,61,31174.0,97,12.7,9,126.0,153,2,3,0,21.0,86.8,2922,app,Android,DE,Sun,0,loyal
118,72,33129.0,61,10.6,8,339.0,209,0,0,0,,88.9,1846,app,iOS,DE,Tue,0,budget
119,38,56182.0,111,12.7,5,256.0,80,0,0,0,42.0,14.2,3356,app,Android,US,Fri,0,budget
120,54,27106.0,4,23.4,9,101.0,346,3,3,0,45.4,100.0,138,web,Android,BR,Sun,0,budget
121,74,23162.0,21,1.7,5,651.0,333,0,1,0,62.4,81.9,648,web,Desktop,TR,Wed,0,budget
122,41,22045.0,104,19.0,5,62.0,48,2,3,1,44.6,35.4,3121,mixed,iOS,TR,Sat,0,budget
123,73,107565.0,59,6.7,10,345.0,223,3,2,0,32.1,66.3,1779,mixed,Android,BR,Sat,0,budget
124,26,28581.0,8,19.3,5,84.0,340,1,2,0,,37.6,262,web,Android,BR,Tue,0,budget
125,34,20184.0,95,4.0,1,310.0,217,2,2,0,29.7,77.3,2851,mixed,Android,US,Tue,1,budget
126,40,37073.0,65,11.0,9,,105,1,3,1,46.7,100.0,1952,web,Android,TR,Mon,0,budget
127,73,37042.0,48,12.5,6,16.0,128,2,2,0,46.4,96.3,1461,web,Desktop,US,Thu,0,budget
128,36,41839.0,77,40.4,7,491.0,374,0,1,0,43.6,6.4,2321,web,Desktop,BR,Sat,0,budget
129,55,80250.0,20,1.0,7,317.0,116,0,3,1,20.2,52.3,628,app,iOS,US,Wed,0,budget
130,53,28092.0,32,15.2,9,235.0,72,1,2,0,25.1,61.2,972,web,Android,BR,Tue,0,budget
131,29,13537.0,38,1.0,3,,93,1,1,0,35.1,78.4,1140,web,Desktop,US,Fri,0,budget
132,50,32758.0,4,26.3,1,265.0,294,0,5,0,55.8,29.2,136,,Desktop,US,Mon,0,budget
133,49,13790.0,74,38.7,9,92.0,238,0,1,0,28.5,48.2,2227,mixed,Android,TR,Tue,0,budget
134,24,55424.0,95,13.3,8,81.0,288,0,0,0,65.2,52.7,2861,app,Desktop,TR,Wed,0,budget
135,34,14088.0,75,3.4,11,35.0,363,0,1,0,,98.8,2258,,Desktop,TR,Tue,0,budget
136,45,44117.0,61,17.1,5,210.0,81,0,2,1,,45.9,1834,app,Android,IN,Tue,1,budget
137,57,92223.0,76,6.2,10,19.0,138,0,3,0,79.4,77.4,2303,web,Android,TR,Sun,0,budget
138,66,87061.0,32,,3,140.0,47,2,3,0,61.9,97.0,983,web,Desktop,TR,Thu,0,loyal
139,55,35080.0,96,24.0,7,288.0,195,2,3,0,4.2,43.3,2881,app,iOS,TR,Fri,0,budget
140,56,35783.0,61,9.2,2,529.0,107,1,2,0,,6.5,1834,app,iOS,TR,Sat,0,budget
141,27,45442.0,71,20.5,8,97.0,258,0,2,0,9.7,87.7,2131,mixed,Android,US,Mon,0,loyal
142,21,23597.0,73,26.1,1,150.0,244,1,3,0,66.9,42.8,2212,mixed,Desktop,TR,Wed,0,budget
143,71,76395.0,114,5.1,11,138.0,112,0,1,0,31.4,0.0,3449,app,Android,DE,Wed,0,budget
144,22,33487.0,41,16.7,7,93.0,107,1,4,0,32.4,52.9,1239,app,Android,TR,Mon,0,budget
145,75,39671.0,38,12.3,7,137.0,60,1,3,0,0.0,70.0,1144,app,Desktop,US,Fri,1,budget
146,27,23237.0,9,11.3,9,178.0,49,1,4,0,14.1,77.4,282,web,iOS,US,Fri,0,budget
147,45,23559.0,16,11.2,5,,224,3,1,0,62.5,50.7,482,app,Android,BR,Tue,0,budget
148,65,41055.0,73,33.3,6,,166,1,3,0,39.8,33.7,2213,app,Desktop,TR,Wed,0,budget
149,39,31733.0,3,18.8,4,119.0,127,1,5,0,40.9,97.2,102,app,Desktop,BR,Sun,0,budget
150,75,44087.0,75,3.6,12,369.0,109,1,2,0,17.7,33.4,2271,app,Android,IN,Sun,0,budget
151,22,115348.0,25,15.0,3,332.0,38,4,3,0,0.0,37.0,758,mixed,iOS,DE,Wed,1,budget
152,41,47999.0,58,31.0,8,189.0,254,2,4,0,41.8,72.8,1747,app,Desktop,TR,Sat,0,budget
153,54,37272.0,111,17.3,6,726.0,479,1,4,0,23.0,100.0,3344,web,Android,TR,Wed,0,loyal
154,75,20076.0,81,31.8,3,344.0,85,0,2,0,76.1,42.3,2459,web,Desktop,US,Tue,0,budget
155,50,18825.0,86,29.5,6,94.0,104,0,2,1,66.6,52.2,2589,app,iOS,US,Wed,0,budget
156,67,12173.0,38,34.7,7,371.0,345,0,0,0,41.3,43.9,1154,web,Android,TR,Fri,0,budget
157,25,30172.0,60,20.4,9,869.0,525,2,4,1,32.6,54.3,1803,,Android,TR,Tue,0,budget
158,27,30971.0,82,18.8,7,64.0,196,1,2,0,30.5,56.3,2482,store,Android,TR,Wed,0,budget
159,35,25632.0,98,,8,179.0,105,2,1,0,53.2,16.8,2953,app,,IN,Sat,0,budget
160,61,51083.0,31,17.6,4,338.0,142,0,2,0,48.1,51.6,957,app,iOS,DE,Fri,0,budget
161,29,36524.0,7,17.1,7,161.0,81,0,2,0,43.7,66.4,217,app,iOS,IN,Thu,0,budget
162,53,10554.0,74,3.0,4,334.0,157,0,0,0,,40.5,2234,app,Android,US,Wed,0,budget
163,64,65164.0,36,22.9,6,855.0,26,1,3,0,52.4,67.0,1088,web,iOS,TR,Mon,0,budget
164,50,164905.0,75,,5,142.0,226,4,3,1,46.8,23.2,2262,,Android,DE,Wed,1,budget
165,70,64456.0,115,20.5,6,84.0,150,3,3,0,33.3,59.8,3476,app,Android,US,Mon,1,loyal
166,56,37133.0,25,20.9,2,337.0,93,0,1,0,57.5,27.7,755,web,Android,US,Fri,0,budget
167,21,48065.0,63,13.8,6,182.0,267,0,2,0,100.0,19.9,1914,store,Android,BR,Sat,0,budget
168,74,66212.0,49,,2,52.0,184,1,6,1,22.4,49.0,1483,web,Desktop,TR,Tue,0,impulsive
169,60,26958.0,11,23.8,7,98.0,88,2,3,0,25.8,77.2,335,store,Android,IN,Mon,0,budget
170,29,58754.0,29,16.0,4,203.0,609,0,5,2,55.0,100.0,874,store,Android,DE,Wed,0,loyal
171,64,34701.0,3,17.0,10,218.0,528,1,1,0,39.4,59.4,96,web,iOS,US,Fri,0,budget
172,72,36996.0,21,31.6,1,396.0,111,0,3,0,75.5,76.5,631,web,iOS,TR,Sun,0,budget
173,64,47477.0,8,7.7,8,643.0,179,0,2,0,68.0,37.8,250,web,Android,DE,Sun,0,budget
174,37,58211.0,57,15.8,8,,107,0,1,0,48.1,89.4,1729,web,Android,IN,Thu,0,budget
175,70,12939.0,6,12.7,13,241.0,289,2,6,1,58.6,46.9,201,store,iOS,TR,Wed,0,budget
176,62,42649.0,79,,13,1104.0,281,0,1,0,51.4,75.6,2387,app,iOS,IN,Wed,0,budget
177,52,60152.0,23,16.6,7,623.0,132,2,3,1,72.7,30.8,718,web,iOS,TR,Fri,0,budget
178,34,81244.0,63,17.9,6,223.0,291,1,4,0,65.9,70.6,1903,app,Android,US,Tue,0,budget
179,28,13944.0,23,8.4,6,164.0,481,0,2,0,36.3,50.0,709,store,Android,IN,Thu,0,budget
180,32,71342.0,37,13.5,7,381.0,158,2,1,0,55.8,63.4,1118,web,Android,IN,Thu,0,budget
181,26,56369.0,9,1.0,8,1008.0,164,4,4,0,,38.0,274,app,,TR,Tue,0,budget
182,21,39950.0,98,,4,69.0,197,0,3,0,43.2,15.5,2949,app,Android,TR,Tue,0,budget
183,54,24375.0,5,20.0,7,101.0,326,0,1,0,87.0,62.6,162,app,iOS,TR,Thu,0,budget
184,57,20877.0,113,21.3,1,58.0,51,0,2,0,53.2,19.6,3412,mixed,Android,TR,Wed,0,budget
185,40,32595.0,119,19.7,10,131.0,133,1,3,0,,36.9,3597,app,Android,DE,Tue,0,budget
186,39,23957.0,100,25.7,6,177.0,91,1,4,0,28.0,54.4,3002,app,Desktop,TR,Sat,0,budget
187,22,46837.0,41,17.2,11,328.0,265,0,3,0,54.8,30.4,1235,mixed,iOS,BR,Tue,1,budget
188,42,64928.0,4,5.1,6,348.0,471,0,3,0,37.2,17.0,134,web,Android,BR,Tue,0,budget
189,46,24532.0,117,15.3,5,306.0,227,2,2,0,52.7,32.9,3510,web,Android,US,Fri,0,budget
190,75,36733.0,106,,6,69.0,15,1,3,0,58.1,42.6,3185,web,iOS,US,Thu,0,budget
191,18,23681.0,86,,8,213.0,198,0,5,0,20.9,54.7,2595,web,iOS,DE,Thu,0,budget
192,36,30213.0,90,24.3,6,179.0,31,0,3,0,22.8,34.5,2723,app,Android,TR,Wed,0,budget
193,71,44116.0,25,21.8,12,230.0,349,0,3,0,13.1,100.0,766,web,iOS,TR,Sat,0,loyal
194,65,44244.0,55,16.3,12,152.0,100,1,3,1,35.7,100.0,1668,web,Android,TR,Tue,1,budget
195,50,32043.0,93,16.3,11,,211,2,1,0,26.0,34.9,2818,web,Android,TR,Tue,0,budget
196,50,31968.0,15,9.1,6,195.0,193,1,4,1,43.9,95.8,468,mixed,Android,US,Thu,1,budget
197,46,13168.0,104,19.0,9,467.0,259,0,2,0,44.4,61.5,3127,app,,BR,Thu,0,budget
198,25,92544.0,40,31.7,12,1081.0,215,1,3,0,68.1,47.8,1223,store,Android,US,Sun,1,budget
199,41,29221.0,97,17.5,12,142.0,12,0,1,0,33.6,83.4,2918,store,Android,TR,Sun,0,budget
200,32,26409.0,45,10.4,5,18.0,164,1,4,0,17.3,31.9,1367,mixed,Android,BR,Wed,0,budget
201,19,15412.0,29,10.1,3,158.0,46,0,3,1,24.7,79.8,884,,iOS,BR,Tue,0,budget
202,24,10267.0,36,28.0,7,468.0,50,2,5,0,32.0,69.6,1081,web,Android,TR,Wed,0,budget
203,25,42423.0,90,19.3,2,,233,3,4,1,19.2,45.6,2724,web,Desktop,TR,Thu,0,budget
204,31,32139.0,19,9.7,7,366.0,40,0,0,0,29.9,58.7,593,web,iOS,US,Thu,1,budget
205,69,101009.0,4,22.6,11,437.0,183,1,4,0,24.0,100.0,140,app,Android,TR,Tue,0,loyal
206,68,34360.0,18,17.4,5,183.0,38,1,3,1,70.1,53.2,549,web,Android,TR,Mon,0,budget
207,56,29091.0,101,11.0,12,231.0,284,0,0,0,25.6,54.6,3041,web,Android,TR,Fri,0,budget
208,64,29253.0,10,4.7,11,150.0,38,0,2,0,52.8,64.2,309,app,Android,IN,Fri,0,budget
209,46,52142.0,85,26.8,9,240.0,282,1,3,0,53.4,28.7,2559,web,iOS,TR,Wed,0,budget
210,51,51811.0,37,2.8,8,,275,0,0,0,43.5,27.8,1112,app,Android,US,Tue,0,budget
211,21,53302.0,102,14.2,5,85.0,65,3,1,0,29.7,45.0,3084,web,Android,TR,Wed,0,budget
212,33,21701.0,40,18.4,3,346.0,463,0,1,0,48.2,90.5,1218,web,Android,BR,Mon,1,budget
213,37,53611.0,92,4.1,6,83.0,71,3,3,0,29.7,48.5,2766,web,Android,US,Fri,0,budget
214,55,20865.0,21,18.3,10,123.0,357,0,2,0,84.4,86.0,640,app,Desktop,TR,Sun,0,budget
215,39,49612.0,54,10.0,7,123.0,245,0,1,0,60.1,57.0,1637,mixed,Android,DE,Thu,0,budget
216,55,33807.0,89,33.4,8,91.0,193,1,2,0,82.5,85.8,2672,web,iOS,US,Thu,0,budget
217,68,40945.0,89,17.7,6,216.0,190,0,2,0,41.2,74.9,2690,app,iOS,IN,Sat,0,budget
218,52,16706.0,18,21.1,3,386.0,45,0,3,0,26.4,83.3,545,web,Android,IN,Thu,1,budget
219,56,16641.0,21,,5,57.0,381,2,6,0,25.0,58.1,642,web,Android,US,Sun,0,budget
220,18,25348.0,26,27.5,7,271.0,80,4,3,1,54.0,4.0,782,,iOS,US,Wed,0,budget
221,31,21283.0,74,,7,253.0,316,0,0,0,37.4,89.8,2226,app,iOS,US,Sun,1,budget
222,35,22902.0,51,7.9,7,,146,1,3,0,60.2,0.6,1555,mixed,Android,US,Tue,0,budget
223,30,35715.0,55,18.8,7,,67,3,2,0,61.0,23.7,1674,app,Android,BR,Thu,0,budget
224,44,56018.0,18,18.1,9,115.0,73,1,5,0,0.0,63.8,567,app,iOS,TR,Fri,0,loyal
225,49,26363.0,80,38.2,10,41.0,107,1,2,0,20.7,81.7,2412,app,iOS,IN,Thu,0,budget
226,60,99254.0,20,21.6,6,421.0,171,1,4,0,53.1,43.1,608,store,Android,TR,Wed,0,budget
227,37,78897.0,40,8.8,10,181.0,362,2,1,0,,12.3,1215,web,Desktop,IN,Sun,0,budget
228,50,60832.0,53,19.0,8,90.0,159,0,1,0,52.4,74.9,1596,web,iOS,US,Sun,1,budget
229,55,38136.0,85,17.9,11,325.0,192,0,3,1,41.1,67.3,2571,mixed,,IN,Sun,0,budget
230,38,46787.0,105,25.0,9,125.0,88,0,1,0,47.4,62.8,3173,web,iOS,IN,Mon,0,budget
231,54,66108.0,8,14.0,8,80.0,62,0,1,0,48.9,70.1,266,app,iOS,IN,Sat,1,budget
232,64,37780.0,12,5.9,3,652.0,12,1,3,0,65.9,16.5,370,web,Android,US,Fri,0,budget
233,35,18961.0,75,34.5,6,388.0,385,0,1,0,50.7,98.4,2269,web,iOS,IN,Mon,0,budget
234,44,60429.0,17,10.0,7,237.0,83,4,4,0,25.9,69.5,531,store,iOS,TR,Sun,0,loyal
235,57,49472.0,111,14.7,9,246.0,219,1,3,0,,56.7,3359,,iOS,BR,Thu,0,budget
236,47,22030.0,116,22.0,2,88.0,185,0,0,0,47.5,43.7,3501,web,Desktop,BR,Sat,0,budget
237,28,27356.0,119,13.9,4,213.0,117,0,4,0,80.3,74.5,3581,web,iOS,TR,Mon,0,budget
238,56,35739.0,43,5.2,8,342.0,30,1,5,0,23.5,52.1,1314,web,Desktop,BR,Sun,0,budget
239,36,33666.0,55,24.9,5,171.0,133,2,4,0,75.4,65.6,1668,app,Android,IN,Fri,0,budget
240,33,30735.0,106,,9,151.0,485,1,3,0,56.6,56.4,3180,web,Android,BR,Thu,0,budget
241,59,22383.0,73,11.9,12,22.0,363,1,6,2,31.3,53.5,2192,app,iOS,BR,Sun,0,budget
242,50,45919.0,18,9.3,11,294.0,100,1,2,0,97.5,33.9,553,mixed,Desktop,TR,Fri,0,budget
